epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5543,0,20.7811,0,0,0,0,0,0,10.5769,0,0.000664,0.000664,0.000664
2,69.0648,0,12.4217,0,0,0,0,0,0,4.55819,0,0.0012648,0.0012648,0.0012648
3,102.997,0,7.73492,0,0,0,0,0,0,4.5055,0,0.0017996,0.0017996,0.0017996
4,139.295,0,4.27096,0,0,0,0,0,0,0.05474,0,0.001703,0.001703,0.001703
5,183.214,0,2.10513,0,0,0,0,0,0,0.03289,0,0.001604,0.001604,0.001604
